dim,seed,method,pipeline,norm,gh,norm_over_gh,log_det,file,status,error
88,3,bkz20_30_40,20+30+40,4901.0112221867,2390.9548849152106,2.0498133415681337,609.642276502234,svp_dim88_seed3.txt,ok,
88,5,lll,LLL,4855.578441339401,2397.021491319385,2.0256716341190417,609.8652774560012,svp_dim88_seed5.txt,ok,
88,5,bkz20,20,4855.578441339401,2397.021491319385,2.0256716341190417,609.8652774560012,svp_dim88_seed5.txt,ok,
88,5,bkz20_30,20+30,4855.578441339401,2397.021491319385,2.0256716341190417,609.8652774560012,svp_dim88_seed5.txt,ok,
88,5,bkz20_30_40,20+30+40,4810.95738912745,2397.021491319385,2.0070564267153777,609.8652774560012,svp_dim88_seed5.txt,ok,
88,6,lll,LLL,4577.571517737323,2397.0585926788312,1.9096619213724189,609.8666395190348,svp_dim88_seed6.txt,ok,
88,6,bkz20,20,4577.571517737323,2397.0585926788312,1.9096619213724189,609.8666395190348,svp_dim88_seed6.txt,ok,
88,6,bkz20_30,20+30,4577.571517737323,2397.0585926788312,1.9096619213724189,609.8666395190348,svp_dim88_seed6.txt,ok,
88,6,bkz20_30_40,20+30+40,4577.571517737323,2397.0585926788312,1.9096619213724189,609.8666395190348,svp_dim88_seed6.txt,ok,
88,8,lll,LLL,4504.2741923644035,2398.5285104007153,1.8779323125960623,609.9205860998377,svp_dim88_seed8.txt,ok,
88,8,bkz20,20,4504.2741923644035,2398.5285104007153,1.8779323125960623,609.9205860998377,svp_dim88_seed8.txt,ok,
88,8,bkz20_30,20+30,4504.2741923644035,2398.5285104007153,1.8779323125960623,609.9205860998377,svp_dim88_seed8.txt,ok,
88,8,bkz20_30_40,20+30+40,4504.2741923644035,2398.5285104007153,1.8779323125960623,609.9205860998377,svp_dim88_seed8.txt,ok,
88,184,lll,LLL,4732.446724475616,2382.2306117170474,1.9865611251903932,609.3205890685838,svp_dim88_seed184.txt,ok,
88,184,bkz20,20,4732.446724475616,2382.2306117170474,1.9865611251903932,609.3205890685838,svp_dim88_seed184.txt,ok,
88,184,bkz20_30,20+30,4732.446724475616,2382.2306117170474,1.9865611251903932,609.3205890685838,svp_dim88_seed184.txt,ok,
88,184,bkz20_30_40,20+30+40,4732.446724475616,2382.2306117170474,1.9865611251903932,609.3205890685838,svp_dim88_seed184.txt,ok,
88,13,lll,LLL,4895.418776774876,2398.491279053966,2.0410408907993904,609.9192201023402,svp_dim88_seed13.txt,ok,
88,13,bkz20,20,4895.418776774876,2398.491279053966,2.0410408907993904,609.9192201023402,svp_dim88_seed13.txt,ok,
88,13,bkz20_30,20+30,4895.418776774876,2398.491279053966,2.0410408907993904,609.9192201023402,svp_dim88_seed13.txt,ok,
88,13,bkz20_30_40,20+30+40,4895.418776774876,2398.491279053966,2.0410408907993904,609.9192201023402,svp_dim88_seed13.txt,ok,
89,0,lll,LLL,4877.387107868307,2407.2926758667854,2.026088126618058,616.6996193845472,svp_dim89_seed0.txt,ok,
89,0,bkz20,20,4877.387107868307,2407.2926758667854,2.026088126618058,616.6996193845472,svp_dim89_seed0.txt,ok,
89,0,bkz20_30,20+30,4877.387107868307,2407.2926758667854,2.026088126618058,616.6996193845472,svp_dim89_seed0.txt,ok,
89,0,bkz20_30_40,20+30+40,4877.387107868307,2407.2926758667854,2.026088126618058,616.6996193845472,svp_dim89_seed0.txt,ok,
89,7,lll,LLL,5173.816289742026,2403.770236756778,2.1523755518009318,616.5692959435526,svp_dim89_seed7.txt,ok,
89,7,bkz20,20,5173.816289742026,2403.770236756778,2.1523755518009318,616.5692959435526,svp_dim89_seed7.txt,ok,
89,7,bkz20_30,20+30,5173.816289742026,2403.770236756778,2.1523755518009318,616.5692959435526,svp_dim89_seed7.txt,ok,
89,7,bkz20_30_40,20+30+40,5173.816289742026,2403.770236756778,2.1523755518009318,616.5692959435526,svp_dim89_seed7.txt,ok,
89,1,lll,LLL,4966.2011638676095,2412.6217673306164,2.0584250839128986,616.8964234312306,svp_dim89_seed1.txt,ok,
89,1,bkz20,20,4966.2011638676095,2412.6217673306164,2.0584250839128986,616.8964234312306,svp_dim89_seed1.txt,ok,
89,1,bkz20_30,20+30,4966.2011638676095,2412.6217673306164,2.0584250839128986,616.8964234312306,svp_dim89_seed1.txt,ok,
89,1,bkz20_30_40,20+30+40,4966.2011638676095,2412.6217673306164,2.0584250839128986,616.8964234312306,svp_dim89_seed1.txt,ok,
89,218,lll,LLL,5390.7595012205775,2397.0768282373797,2.2488889124110862,616.3211256785343,svp_dim89_seed218.txt,ok,
